1099.3,5.5333,120,60,0.14949,0.23701,2.25,615,18.243,0.81669,4.5748,0.0043902,0.093975,2.9261,0.16196,0.0325,0.048125,0.0608,0.00010558,4,1.893,0.48813,0.12401,0.918,0.032183,7.3853,16.856,16,58.75,4.3772
1055.8,4.7333,90,60,0.19932,0.2292,3,645,20.331,0.83436,4.5232,0.0082973,0.11124,2.864,0.14998,0.02875,0.036875,0.053049,0.00011938,4,2.0151,0.43245,0.14227,0.918,0.027611,7.6904,15.452,14.5,61,4.1044
1084,3.1333,75,45,0.15945,0.23879,3,607,22.517,0.82827,4.9038,0.0044948,0.089708,2.9537,0.14373,0.026875,0.03375,0.058179,0.00012948,3,1.893,0.46083,0.14602,0.912,0.024376,7.6904,22.162,16.25,57.5,4.3208
1084.2,3.1333,75,45,0.14949,0.24952,2.75,527,23.421,0.8193,4.7019,0.0052714,0.098968,2.9815,0.14533,0.031875,0.038125,0.059713,0.00011334,4,1.893,0.46989,0.12867,0.924,0.030298,7.5073,15.159,12.75,51.75,3.0232
1084.4,4.8,90,60,0.16942,0.24267,3.25,587,19.999,0.82824,4.7701,0.0050216,0.098625,2.8782,0.15029,0.0275,0.034375,0.060736,0.0001332,4,1.893,0.46194,0.14085,0.922,0.0307,7.5684,12.685,15.75,59.25,4.3658
1086.2,4.9333,90,60,0.13952,0.23631,2.75,618,19.04,0.82227,4.649,0.0056931,0.1039,2.9306,0.1557,0.03125,0.03625,0.054469,0.00010324,4,1.893,0.4628,0.12942,0.906,0.020175,7.5073,18.945,16,58.5,4.3636
795.36,3.1333,60,45,0.16942,0.24935,3.25,530,25.824,0.81362,4.7815,0.0057276,0.097454,2.8893,0.13875,0.030625,0.036875,0.058347,9.2935e-05,3,1.893,0.45216,0.12557,0.904,0.031818,7.5073,17.09,13.25,53,3.2325
1108.8,4.9333,90,60,0.18935,0.23655,3.25,617,18.705,0.82078,4.3779,0.0062427,0.11224,2.9356,0.1617,0.029375,0.041875,0.060193,0.00010302,4,1.893,0.5129,0.10312,0.908,0.029268,6.6528,19.954,15.5,61,4.4028
1099,4.8,90,60,0.15945,0.22832,3,648,18.737,0.81829,4.4874,0.0064023,0.11257,2.8767,0.15817,0.03,0.036875,0.051634,0.0001227,4,1.893,0.50446,0.11745,0.902,0.023655,7.3242,18.709,15.25,57.75,4.101
513.58,3.3333,60,45,0.14949,0.2464,3,562,25.499,0.81134,4.6541,0.0048639,0.099501,2.9952,0.14235,0.02875,0.038125,0.055405,0.00010807,3,1.893,0.47468,0.11626,0.914,0.02805,7.1411,18.04,12.75,54.25,3.1729
1057.2,4.8667,90,60,0.17938,0.23792,3,611,18.937,0.81071,4.5047,0.0065952,0.11227,2.9268,0.159,0.029375,0.035,0.05813,0.00016038,4,2.0151,0.44484,0.128,0.908,0.026011,7.5684,20.227,15.25,60.75,4.3241
1101.6,5.2667,90,60,0.16942,0.22862,3,647,18.313,0.82352,4.6041,0.0058105,0.10292,2.8974,0.16483,0.026875,0.035625,0.054726,0.00012424,4,1.893,0.50427,0.10704,0.906,0.032062,7.0801,17.384,15.5,58.25,4.2043
1087.3,3.6667,90,60,0.13952,0.22743,2.5,651,18.678,0.83259,4.3913,0.0069442,0.11535,2.8836,0.1543,0.029375,0.041875,0.049721,0.00014189,3,1.893,0.48194,0.1127,0.904,0.027283,6.7749,16.535,12.25,53.5,3.0063
1027.6,3.0667,60,45,0.16942,0.24947,3,528,26.144,0.82561,4.7299,0.0059638,0.096942,2.9314,0.15034,0.03125,0.041875,0.065014,0.00017058,3,2.0151,0.42939,0.1361,0.918,0.037953,7.7515,18.172,13.25,54,3.3048
1062.6,5.0667,90,60,0.14949,0.23836,2.75,609,18.728,0.81142,4.1352,0.0083903,0.12476,2.8434,0.1616,0.031875,0.04,0.059313,0.00013938,4,2.0151,0.47684,0.11043,0.9,0.030568,6.7749,22.959,15,61.25,4.2782
